BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCUNDC;ACCMU;ACCMUDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2017;300000031;300780053;TYPE2;;21;6;;;3;1238;135;265;11;0;0;0;0;4776;1206;0;0;871;4065;117;784;0;855;4;16;0;11;;893;3701;3210;;20;0;1;183;182;89;12;;3;0;0
PERINAT;2017;300780137;920028396;;;1;;;;;13;11;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;30;57;0;1;;1;0;0
PERINAT;2017;300781465;300000726;TYPE2;;24;6;0;0;3;1199;95;152;13;0;0;0;0;4591;880;0;0;957;4155;207;1189;8;945;4;12;0;6;;972;;;;15;0;1;139;205;111;1;;1;0;0
PERINAT;2017;300782117;300780038;TYPE3;;38;15;9;6;5;3742;765;417;6;60;0;260;2;15332;5282;602;3564;2249;12066;525;4384;14;2170;57;79;3;7;;2331;10138;8869;163;78;0;1;539;538;226;78;2;116;1;413
PERINAT;2017;300788502;300788486;TYPE1;;35;;;;4;1757;194;0;0;0;0;0;0;6426;0;0;0;1459;6218;359;1917;3;1453;4;6;0;0;;1465;;;;21;0;1;269;309;219;3;;4;0;0
PERINAT;2017;310009279;310780671;TYPE1;;14;;;;2;735;67;0;0;0;0;0;0;2781;0;0;0;446;2192;90;600;2;443;2;3;0;2;;451;5751;5863;;5;0;1;62;64;26;4;4;2;0;0
PERINAT;2017;310016977;310781406;TYPE3;;109;22;21;14;9;7505;1075;818;28;767;49;439;15;32681;6192;7106;5166;4711;25797;1092;9110;149;4531;103;180;9;6;;4983;8380;10938;;128;0;1;695;716;246;122;;151;1;679
PERINAT;2017;310026083;310026075;TYPE2;;47;9;;;12;4227;298;422;27;0;0;0;0;16020;2153;0;0;3563;14517;566;3434;21;3520;14;43;0;23;;3627;;;;232;0;1;415;473;272;11;16;27;0;0
PERINAT;2017;310780101;310026794;TYPE1;;24;;;;5;922;116;0;0;0;0;0;0;3041;0;0;0;680;2702;176;936;1;674;5;6;0;2;;691;;;;53;0;1;215;233;148;8;;1;1;733
PERINAT;2017;310780283;310000112;TYPE2;;21;6;0;0;4;1280;47;150;2;0;0;0;0;4896;1275;0;0;1074;4396;227;1229;3;1068;2;6;0;3;;1082;;;;23;0;1;21;65;10;3;;0;0;0
PERINAT;2017;310780309;310026794;;;1;;;;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;39;45;26;1;;0;0;0
PERINAT;2017;310780382;310000179;TYPE2;;65;9;6;;;3860;182;415;6;130;4;0;0;15624;3320;490;0;3248;14042;623;3675;10;3205;22;43;1;13;;3291;;;;36;0;1;433;472;285;1;;14;0;0
PERINAT;2017;310781000;310788880;;;0;;;;;6;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;19;0;0;;0;0;0
PERINAT;2017;310781067;310788898;TYPE1;;39;;;;5;2791;185;0;0;0;0;0;0;10819;0;0;0;2400;10374;340;1898;4;2389;6;11;0;31;;2411;;;;98;0;1;1136;1209;461;138;;1;0;0
PERINAT;2017;310781505;310000492;TYPE1;;20;;;;3;818;77;0;0;0;0;0;0;3150;0;0;0;603;2874;170;1057;0;599;2;4;0;6;;608;;;;4;0;1;134;141;102;1;1;14;0;0
PERINAT;2017;320000086;320780117;TYPE2;;20;4;;;5;1111;127;101;8;0;0;0;0;4352;792;0;0;827;3873;137;930;2;821;3;6;0;4;;837;6809;5283;83;18;0;1;232;194;139;13;4;1;0;0
PERINAT;2017;320780067;320000052;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;35;36;22;0;;0;0;0
PERINAT;2017;330000340;330780552;TYPE1;;40;;;;6;3176;271;0;0;0;0;0;0;11808;0;0;0;2602;11084;446;2533;0;2590;34;12;0;12;;2620;;;;95;1;1;324;336;22;35;;73;0;0
PERINAT;2017;330000555;330781204;TYPE1;;22;;;;3;1297;94;0;0;0;0;0;0;4758;0;0;0;1048;4423;204;1025;0;1036;1;12;0;7;;1062;4080;2991;;22;0;1;345;324;201;20;;18;0;0
PERINAT;2017;330000571;330781220;TYPE1;;15;;;;2;600;84;0;0;0;0;0;0;1814;0;0;0;432;1667;69;335;0;426;0;6;0;10;;443;7846;1724;504;43;0;1;149;149;70;8;;5;0;0
PERINAT;2017;330000589;330027509;TYPE1;;18;;;;4;1130;139;0;0;0;0;0;0;3633;0;0;0;699;3028;162;885;0;692;0;7;0;9;;709;3196;4128;189;24;19;1;239;237;145;19;2;0;0;0
PERINAT;2017;330000597;330027509;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2;475;23;0;0;1;8;2;8;0;;0;0;0
PERINAT;2017;330000605;330781253;TYPE2;;32;9;3;;5;2040;124;230;12;187;24;0;0;7996;1698;1627;0;1599;7123;353;2141;16;1570;6;29;0;6;0;1638;15972;6197;525;88;0;1;381;388;126;31;4;11;0;0
PERINAT;2017;330780263;330000134;TYPE1;;30;;;;6;2159;322;0;0;0;0;0;0;6999;0;0;0;1524;6353;212;1173;0;1516;4;8;0;19;;1538;;;;54;0;1;42;126;0;0;;5;0;0
PERINAT;2017;330780479;330000274;TYPE2;;46;6;;;7;3474;345;257;10;0;0;0;0;12737;1704;0;0;2709;11530;576;3217;39;2668;11;41;0;8;;2753;;;;98;0;1;86;115;81;0;;28;0;0
PERINAT;2017;330780495;330796392;TYPE1;;12;;;;2;429;54;0;0;0;0;0;0;1506;0;0;0;294;1314;72;437;0;292;2;2;0;6;;297;7808;554;;6;0;1;131;132;83;4;;0;0;0
PERINAT;2017;330780503;330000308;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;2;3;0;0;;0;0;0
PERINAT;2017;330780537;330000324;TYPE1;;13;;;;2;478;52;0;0;0;0;0;0;1718;0;0;0;331;1515;75;470;1;331;1;0;0;1;1;338;99;824;0;1;0;1;98;88;20;10;0;3;0;0
PERINAT;2017;330781360;330781196;TYPE3;;72;58;37;18;13;8548;1840;870;22;814;75;622;125;34576;4924;9918;5989;5329;29968;1088;9217;80;5118;90;211;11;33;33;5594;;9023;;216;0;1;1651;1778;768;278;51;142;1;673
PERINAT;2017;330782582;330000928;TYPE1;;25;;;;4;1499;242;0;0;0;0;0;0;4826;0;0;0;1046;4392;220;1123;0;1031;9;15;0;5;;1063;;;;22;0;1;125;146;0;7;;16;1;781
PERINAT;2017;340000033;340780055;TYPE2;EXT;26;6;;;3;1734;148;368;41;0;0;0;0;6323;2342;0;0;1235;5334;203;1275;8;1221;3;14;0;13;;1256;;7878;;32;0;1;711;760;417;44;4;18;0;0
PERINAT;2017;340000223;340011295;TYPE2;;25;6;;;3;1006;91;159;13;0;0;0;0;3509;758;0;0;686;2901;117;630;3;676;3;10;1;4;2;703;15838;5004;;18;1;1;336;369;228;10;;16;0;0
PERINAT;2017;340009885;340009877;TYPE1;;32;;;;4;1997;228;0;0;0;0;0;0;6969;0;0;0;1449;5748;279;1553;0;1435;7;14;1;12;;1467;;;;31;0;1;113;113;41;7;11;20;0;0
PERINAT;2017;340022979;340000306;TYPE2;;71;6;;;10;4441;465;464;46;0;0;0;0;17636;2449;0;0;3549;16473;713;4083;15;3504;8;45;3;13;;3601;;;;34;0;1;744;730;412;17;;8;1;987
