BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2016;270000045;270000060;TYPE1;;14;;;;2;674;84;0;0;0;0;0;0;2213;0;0;0;448;1998;85;452;0;441;0;7;1;6;;457;1443;3078;346;4;0;1;167;129;107;1;;0;0;0
PERINAT;2016;270000359;270023724;TYPE2;;34;;10;;5;3338;802;0;0;384;29;0;0;10679;0;2446;0;2117;9716;471;2817;12;2076;3;41;24;10;0;2179;14518;10565;55;30;0;1;586;606;487;26;15;21;0;0
PERINAT;2016;270000367;270000086;TYPE1;;11;;;;2;642;53;0;0;0;0;0;0;2335;0;0;0;501;2139;86;506;0;498;0;3;3;9;;505;6433;3636;;18;0;1;148;134;95;6;;0;0;0
PERINAT;2016;270000391;760024042;CPPR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;103;3060;;0;0;0;0;;0;0;;0;0;0
PERINAT;2016;270000425;270000102;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1725;1924;41;0;0;0;0;0;0;0;;0;0;0
PERINAT;2016;270000441;270000110;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;303;1110;;0;0;0;0;;0;0;;0;0;0
PERINAT;2016;270000458;270023724;TYPE1;;14;;;;4;1085;247;0;0;0;0;0;0;3291;0;0;0;718;3072;138;767;0;715;0;3;5;12;;724;8578;3828;;14;0;1;306;306;252;12;;7;0;0
PERINAT;2016;280000084;280000183;TYPE2;EXT;28;10;;;4;2699;512;354;9;0;0;0;0;9207;2254;0;0;1630;7817;402;2466;1;1611;0;19;7;7;;1649;11357;10882;235;12;0;1;292;319;226;12;;23;1;223
PERINAT;2016;280000662;280500075;TYPE1;;15;;;;2;565;40;0;0;0;0;0;0;1959;0;0;0;427;1728;107;578;0;424;1;3;1;1;;430;3892;3950;;15;0;1;78;85;49;2;;5;0;0
PERINAT;2016;280502998;280000589;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2016;280504267;280000134;TYPE2;;45;12;6;;5;3416;326;500;12;186;21;0;0;13491;3208;1046;0;2661;12115;422;2965;7;2614;0;47;21;11;;2712;12464;4538;215;100;0;1;324;397;220;42;5;35;0;0
PERINAT;2016;280505777;280001199;;;0;;;;;23;16;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;34;53;23;0;;0;0;0
PERINAT;2016;290000025;290020700;TYPE2;INT;42;12;3;;7;3354;423;420;11;155;14;0;0;11749;3451;485;0;2443;10656;402;2321;5;2407;1;36;19;8;;2492;10226;8669;102;57;0;1;567;575;252;36;7;19;0;0
PERINAT;2016;290000033;290021542;TYPE2;;23;4;;;5;818;48;136;26;0;0;0;0;3547;727;0;0;593;3081;132;905;0;585;0;8;3;1;0;601;4608;6405;259;12;0;1;162;118;113;5;0;3;0;0
PERINAT;2016;290000058;290000017;TYPE3;EXT;55;18;6;6;8;2800;228;612;15;179;12;178;8;13208;5215;1874;2103;2033;10873;440;3414;36;1949;2;84;16;0;0;2117;23194;10065;115;33;0;1;505;430;287;43;0;12;1;299
PERINAT;2016;290000066;290020700;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;718;1415;54;;;0;;;;;;;0;
PERINAT;2016;290000140;290000447;;;;;;;;33;24;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;52;47;38;0;;1;1;528
